State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	4.80276	4.17382	4.30723	4.25006	3.96418	3.64018	3.27807	3.16372	2.26797	2.05832	2.26797	3.04937	3.01125	3.31619	2.85878	2.74443	2.74443	2.95408	3.29713	3.44960	3.33525
2	4.57486	4.69078	4.48213	4.28893	4.23484	4.01073	3.79435	3.66298	3.67071	3.40023	3.02157	2.75110	2.72791	2.65064	2.99839	2.96748	3.09112	3.07567	2.81292	2.79746	2.89020
3	2.69067	2.79860	2.83715	2.89883	2.88341	2.86028	2.83715	2.96050	3.16866	3.23805	3.48476	3.15325	2.98363	2.69067	2.69067	2.69838	2.60586	2.65212	2.62128	2.52876	2.55960
4	3.56298	3.09931	3.05050	2.92848	3.19692	3.39215	3.31894	2.80646	2.26957	2.04993	1.73268	1.53745	1.61066	1.61066	1.87911	1.97672	1.90351	1.58626	1.65947	1.68387	1.87911
5	1.46823	1.40845	1.39725	1.33747	1.43087	1.44955	1.60272	1.64756	1.64008	1.86050	1.64756	1.60646	1.60646	1.62514	1.52800	1.66997	1.65876	1.67744	1.63261	1.72975	1.72227
6	1.34545	1.40952	1.37749	1.36948	1.19329	1.35346	1.43355	1.50562	1.68982	1.86601	1.85800	1.89805	1.61775	1.60974	1.69783	1.56969	1.66580	1.61775	1.61775	1.57770	1.60974
7	2.00498	1.81701	1.84834	1.73869	1.77002	1.85617	1.84051	1.74652	1.72303	1.74652	1.83268	1.71520	1.52723	1.56639	1.44891	1.34709	1.27661	1.32360	1.44891	1.58205	1.43325
8	1.14809	1.16626	1.15831	1.17193	1.15944	1.14127	1.16512	1.13787	1.11288	1.12651	1.14241	1.12651	1.13446	1.18216	1.17534	1.18443	1.15490	1.15377	1.16739	1.17193	1.18556
9	0.82060	0.82060	0.79738	0.79273	0.78035	0.77570	0.74938	0.74938	0.72925	0.67042	0.65339	0.65339	0.66268	0.64564	0.62242	0.62861	0.62707	0.63171	0.62861	0.63016	0.67661
10	3.87326	3.81093	3.81984	3.81093	3.80648	3.79758	3.75751	3.75751	3.64176	3.53936	3.33012	3.29450	3.21436	2.95615	2.81368	2.71128	2.67567	2.60889	2.49313	2.47978	2.35957
11	3.75839	3.75995	3.77321	3.77788	3.76697	3.73890	3.69603	3.67498	3.65003	3.57519	3.51594	3.42083	3.32104	3.20644	3.07236	2.96477	2.84394	2.72856	2.61396	2.50482	2.41049
12	3.16563	3.19352	3.09590	3.15168	3.12379	2.98434	2.78910	2.64964	2.31495	1.99421	1.60373	1.33877	1.18537	1.10169	1.05986	0.99013	1.00408	1.01802	1.00408	0.94829	0.89251
13	0.39410	0.39616	0.39776	0.39753	0.39799	0.39845	0.40073	0.40302	0.40828	0.40942	0.41262	0.41491	0.41902	0.42039	0.41993	0.41948	0.41696	0.41811	0.41833	0.41948	0.42039
14	0.82749	0.82938	0.83144	0.83349	0.83728	0.84113	0.84382	0.84613	0.85093	0.85688	0.86826	0.88059	0.89149	0.90324	0.91620	0.92415	0.93463	0.94143	0.95097	0.95650	0.96224
15	1.20233	1.20513	1.19392	1.19462	1.17218	1.17008	1.18200	1.20022	1.21845	1.22687	1.21565	1.20513	1.20653	1.18831	1.17569	1.17639	1.17639	1.18971	1.18620	1.18550	1.18270
