State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	4.15504	4.47466	5.24847	6.47648	8.10821	11.01842	16.31736	25.77133	41.68496	78.42424	131.53135	117.53543	86.70067	50.92024	30.01048	18.20142	10.86702	7.67084	5.43351	3.81860	3.02796
2	7.54396	8.94225	10.83165	12.89839	15.48353	17.31836	17.95271	16.60898	14.42628	11.05674	9.61070	20.55831	34.86863	48.96751	55.59746	55.29734	48.84474	40.37313	32.50859	26.54709	21.34954
3	3.85839	4.64095	5.85222	7.55345	10.84703	16.97145	26.15128	37.95100	49.82557	45.54528	29.85315	30.41796	27.82529	24.85834	20.40113	14.44002	9.71741	6.64840	5.19215	3.94004	3.13026
4	4.26495	4.97577	6.44050	8.35758	10.40389	13.69953	19.45075	26.47284	33.58109	36.51055	33.88265	31.27629	29.72540	26.21436	21.94941	16.80131	13.05333	10.64083	8.20680	6.31126	5.06193
5	2.20935	2.26541	2.53580	3.16234	4.07905	4.91333	5.26616	5.50359	4.66931	4.28680	4.06916	2.58856	2.21265	2.31487	2.86556	3.27775	3.32721	2.86556	2.41709	2.10712	1.84992
6	1.73893	1.92272	1.80255	2.05703	2.19840	2.38219	2.77098	2.86994	2.77805	2.06409	1.51273	1.42790	1.20170	1.06032	0.94015	1.06032	1.01084	0.96843	1.02498	1.10274	0.87653
7	4.83900	5.05330	5.10169	4.71457	3.84355	2.82045	2.01164	1.79734	1.50700	1.33418	1.36875	1.30653	1.40331	1.74895	2.66145	5.64089	10.20338	13.53538	14.94560	15.31198	15.06312
8	1.54058	1.48044	1.40427	1.29000	1.12361	0.93718	0.85098	0.76578	0.69061	0.73671	0.69261	0.57434	0.55730	0.57935	0.67457	0.91212	1.32208	1.72301	2.11091	2.41763	2.63714
9	1.65360	1.50601	1.29282	1.07826	0.87053	0.73934	0.65871	0.58491	0.54255	0.51111	0.50975	0.50975	0.52751	0.55348	0.63548	0.84457	1.34338	2.12645	2.96418	3.64749	4.25017
10	1.21424	1.04920	0.84093	0.72304	0.69161	0.60515	0.61301	0.66410	0.70339	0.73090	0.77413	0.83307	0.88808	0.91952	0.92345	0.98239	1.07670	1.31248	1.65828	2.05910	2.55030
11	0.51470	0.48374	0.45415	0.43144	0.41149	0.39084	0.36332	0.32822	0.31240	0.30621	0.31377	0.31653	0.32410	0.33648	0.34543	0.35713	0.38534	0.39841	0.42456	0.46929	0.51539
12	0.73854	0.72623	0.76316	0.75085	0.78777	0.83701	0.83701	0.80008	0.86163	0.89856	0.88625	0.88625	0.86163	0.78777	0.73854	0.80008	0.76316	0.86163	0.84932	0.77547	0.78777
13	0.29963	0.29782	0.29842	0.29681	0.29418	0.29277	0.29095	0.28793	0.28490	0.28329	0.28208	0.27925	0.28107	0.28268	0.28551	0.28692	0.28833	0.28954	0.29136	0.29277	0.29277
14	0.90539	0.89735	0.88396	0.86085	0.82319	0.76748	0.69016	0.59893	0.50761	0.47041	0.45670	0.45079	0.46014	0.47627	0.49924	0.53100	0.55969	0.58456	0.60233	0.61734	0.63218
15	2.49436	2.48941	2.47023	2.44238	2.41021	2.35390	2.22147	2.02160	1.83597	1.73015	1.69736	1.68189	1.73820	1.85082	1.95539	2.06121	2.13670	2.17259	2.18558	2.17011	2.14536
