State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	0.18243	123.18168	15.50926	1.79800	2.26820	131.51856	27.44691	0.15735
2	0.44991	15.98757	4.68581	2.20640	3.02189	9.61100	21.45455	0.16520
3	0.45097	27.80775	4.77634	1.25664	3.48512	29.85407	16.83086	0.35869
4	0.14247	51.60177	6.01489	1.16635	1.73286	33.88369	17.31889	0.75965
5	0.93064	3.37819	1.50736	1.18881	1.64773	4.06928	3.23184	0.57134
6	0.43413	1.75358	1.37592	1.30343	1.85820	1.51277	1.70342	0.36656
7	0.44393	0.59663	1.68911	2.26116	1.83287	1.36879	4.82332	0.13257
8	3.06166	0.80909	1.12752	2.23215	1.14253	0.69263	1.13221	0.21810
9	2.24555	0.54005	0.82026	2.29250	0.65345	0.50976	1.20416	0.10920
10	0.78095	0.14363	4.78894	2.30505	3.32601	0.77415	0.98199	0.14312
11	4.45981	0.12915	4.39483	2.23718	3.51631	0.31378	0.42025	0.29757
12	0.24931	1.54115	3.19600	0.50667	1.60390	0.88627	0.72087	0.19630
13	15.20927	0.24030	0.31131	0.64389	0.41266	0.28209	0.31764	1.74641
14	65.99965	0.33962	0.75118	0.87113	0.86824	0.45671	0.67611	0.98226
15	4.95932	3.11356	1.12079	0.82616	1.21578	1.69741	2.20780	1.02552
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
