State (Emission order)	H3k27me3	H3k09me3	H3k9me1	H4k20me1	H3k36me3	H3k79me2	H3k4me3	H3K9ac	H3k4me2
1	1.2423499805952765E-242	3.7976062442440507E-4	1.1197880480447367E-281	1.715216432385312E-260	6.806428962123954E-5	0.3984604797633962	0.7658052983057618	0.6866814489342993	4.7457913674487486E-11
2	0.001759521181403748	0.0011891972580615948	0.0064898787334356405	0.04927332316522573	0.05320942257592776	0.9523345007174195	0.9964064751633691	0.821273937049405	0.9847011038034106
3	0.0012857579494059807	0.0011810322381582952	0.0013514892841964556	3.5829829129408743E-4	0.0011229576907179706	0.03235158406074865	0.9811882164339506	0.8048372531270465	0.9554035434252022
4	0.2566259119392385	0.0024931301598134902	0.002122378296217373	0.00252518545514302	0.0010786987937300215	0.006396075548965738	0.5352882574686765	0.057127743565837795	0.6763342632266678
5	5.646794667250089E-4	0.0012057407085473207	0.007766895635099896	0.0026458935580022124	0.005729153727386053	0.006083885934348451	0.03237663210073257	0.07173259395496517	0.6705611973767538
6	3.138876133560856E-5	9.70407008680261E-4	0.0039046268334607527	4.6455694340127114E-4	0.013461553587633759	0.01689610136887655	0.08949674554328144	0.8266321141533973	0.8128620504113946
7	1.7228660378091368E-4	0.001168388151913376	0.027598325371950495	0.08511347064201813	0.11855850093506906	0.8471061115314783	0.0919966470547929	0.2177362262974153	0.7777889030821994
8	2.2599610279213885E-4	0.0013410941351076962	0.00750741710085772	0.01595955479667465	0.017654782990925818	0.16416065691349369	1.1960016077207474E-4	0.0012884051030793732	0.00397856362257604
9	2.1260218364389094E-4	0.002846136396383306	0.01752627080532732	0.08056051945270391	0.0463040217193634	0.8268580808571484	9.418998031680366E-5	0.002140765759520793	0.008189485986496986
10	2.6538121302078057E-4	0.0036720548660719686	0.013941700066576483	0.06109316874645332	0.5722805196430036	0.5814781089304993	5.309550960309797E-4	0.00559853968384929	0.015036389492530798
11	8.233781826896235E-5	9.950473186707601E-4	0.006323231162837647	0.006009784485589414	0.24236870662600327	0.009582083062059814	1.2827195699713855E-4	0.001268128266077692	0.0018129319490022033
12	0.18056412236228708	0.8421939620230903	0.0968217422079392	0.1720138441344503	0.35621808498221674	0.022401126144278985	0.10553973273385187	0.022072736208911727	0.05088944829779061
13	4.828702115080694E-4	0.11395520929447855	4.527359880769391E-4	7.784444088210258E-4	6.899759097282764E-4	4.2039085338610136E-5	2.3398287588120126E-4	6.153298039171905E-5	1.6626780485222127E-4
14	0.0047530982754432115	0.0016303639038504644	0.0016829836455871142	0.001033893941279742	0.001213521167980808	1.2650340072233227E-4	7.396498299099329E-5	2.3115222866323585E-4	6.772811832634456E-5
15	0.37363723995611353	0.0013770198279488776	0.0026983689718796068	0.004178776773050124	3.501298264517951E-4	8.870103485742728E-5	6.135738737145948E-5	3.170200396088298E-4	0.0018228341367572322
