15	9	E	-5909075.514914535	113
probinit	1	0.0
probinit	2	0.0
probinit	3	0.0
probinit	4	1.978097179294E-312
probinit	5	2.816703729651573E-190
probinit	6	0.0
probinit	7	0.0
probinit	8	3.427025612501482E-235
probinit	9	0.0
probinit	10	0.0
probinit	11	1.9079434673568104E-254
probinit	12	0.0
probinit	13	1.660389112612585E-188
probinit	14	1.0
probinit	15	8.440199072096527E-192
transitionprobs	1	1	0.641255180222052
transitionprobs	1	2	0.1747197752031241
transitionprobs	1	3	0.15574255026373865
transitionprobs	1	4	0.0133681970658692
transitionprobs	1	5	0.0
transitionprobs	1	6	0.0
transitionprobs	1	7	2.6063582264192724E-4
transitionprobs	1	8	0.013452276230577525
transitionprobs	1	9	0.0010726482172333375
transitionprobs	1	10	0.0
transitionprobs	1	11	0.0
transitionprobs	1	12	1.287369747634186E-4
transitionprobs	1	13	0.0
transitionprobs	1	14	0.0
transitionprobs	1	15	0.0
transitionprobs	2	1	0.06781857867535401
transitionprobs	2	2	0.8012380073486579
transitionprobs	2	3	0.032055737836898295
transitionprobs	2	4	0.0
transitionprobs	2	5	0.001865077968451255
transitionprobs	2	6	1.903144483337306E-4
transitionprobs	2	7	0.08501006800892189
transitionprobs	2	8	0.0045974971638239335
transitionprobs	2	9	0.006647117558611166
transitionprobs	2	10	4.779914995169094E-5
transitionprobs	2	11	0.0
transitionprobs	2	12	1.1922466794582282E-4
transitionprobs	2	13	2.3585381554740335E-6
transitionprobs	2	14	4.082186348949057E-4
transitionprobs	2	15	0.0
transitionprobs	3	1	0.061395218067811064
transitionprobs	3	2	0.03164201990932765
transitionprobs	3	3	0.6606131512175814
transitionprobs	3	4	0.018784704275199408
transitionprobs	3	5	0.13194660421466795
transitionprobs	3	6	0.054446724487065695
transitionprobs	3	7	0.006183154962718687
transitionprobs	3	8	0.003791859399127467
transitionprobs	3	9	0.0
transitionprobs	3	10	0.0
transitionprobs	3	11	5.7507523722990344E-8
transitionprobs	3	12	9.366056392595626E-5
transitionprobs	3	13	1.468007059772207E-4
transitionprobs	3	14	0.030956044689073894
transitionprobs	3	15	0.0
transitionprobs	4	1	0.01836532874503151
transitionprobs	4	2	0.0
transitionprobs	4	3	0.05399331711551466
transitionprobs	4	4	0.703355762530362
transitionprobs	4	5	0.0031848142652569213
transitionprobs	4	6	0.0
transitionprobs	4	7	0.0
transitionprobs	4	8	7.76771694398562E-4
transitionprobs	4	9	1.1864909870548802E-4
transitionprobs	4	10	0.0
transitionprobs	4	11	0.0
transitionprobs	4	12	5.013896392516541E-4
transitionprobs	4	13	0.00425944799295629
transitionprobs	4	14	0.061669856160478286
transitionprobs	4	15	0.15377466275804458
transitionprobs	5	1	0.0
transitionprobs	5	2	7.633841982739717E-4
transitionprobs	5	3	0.054008496628657435
transitionprobs	5	4	1.315743910101995E-5
transitionprobs	5	5	0.5935199666865463
transitionprobs	5	6	0.050152090468585736
transitionprobs	5	7	0.0029817117113662326
transitionprobs	5	8	0.017945095586436633
transitionprobs	5	9	2.3415790421943143E-5
transitionprobs	5	10	1.2109875816329442E-4
transitionprobs	5	11	0.010860460895141422
transitionprobs	5	12	6.118250890840629E-5
transitionprobs	5	13	5.257868831182916E-4
transitionprobs	5	14	0.26889588097266054
transitionprobs	5	15	1.2827147261900747E-4
transitionprobs	6	1	0.0
transitionprobs	6	2	2.2375948529352875E-4
transitionprobs	6	3	0.05294841129521666
transitionprobs	6	4	0.0
transitionprobs	6	5	0.11704323216932037
transitionprobs	6	6	0.7064578098644352
transitionprobs	6	7	0.0186447447543304
transitionprobs	6	8	0.02560421562837941
transitionprobs	6	9	1.9243218400868728E-4
transitionprobs	6	10	0.0015078178507447165
transitionprobs	6	11	0.010000297630701519
transitionprobs	6	12	1.3403631210231277E-4
transitionprobs	6	13	3.397843152718106E-4
transitionprobs	6	14	0.06690345851019537
transitionprobs	6	15	0.0
transitionprobs	7	1	0.0
transitionprobs	7	2	0.07942422064390367
transitionprobs	7	3	0.005613300714035842
transitionprobs	7	4	2.709737458705555E-5
transitionprobs	7	5	0.0059325108736543175
transitionprobs	7	6	0.017638871213794427
transitionprobs	7	7	0.696935104680834
transitionprobs	7	8	0.02883305574966044
transitionprobs	7	9	0.14448337572781653
transitionprobs	7	10	0.021112420361416487
transitionprobs	7	11	4.266029748858261E-8
transitionprobs	7	12	0.0
transitionprobs	7	13	0.0
transitionprobs	7	14	0.0
transitionprobs	7	15	0.0
transitionprobs	8	1	7.753585119345282E-4
transitionprobs	8	2	6.346280549167388E-4
transitionprobs	8	3	5.14580525069026E-4
transitionprobs	8	4	6.503836997694225E-5
transitionprobs	8	5	0.006608887469584413
transitionprobs	8	6	0.0038366665874089217
transitionprobs	8	7	0.004238574370980739
transitionprobs	8	8	0.9399221857630704
transitionprobs	8	9	0.023124165033701554
transitionprobs	8	10	0.007002551493165989
transitionprobs	8	11	0.007689675471532314
transitionprobs	8	12	1.7310743720043694E-4
transitionprobs	8	13	8.39183039780288E-5
transitionprobs	8	14	0.005330662607479886
transitionprobs	8	15	0.0
transitionprobs	9	1	4.5465843456369025E-5
transitionprobs	9	2	0.0011197617822817833
transitionprobs	9	3	0.0
transitionprobs	9	4	0.0
transitionprobs	9	5	0.0
transitionprobs	9	6	1.834165109222231E-5
transitionprobs	9	7	0.030146254218456278
transitionprobs	9	8	0.03264343606062887
transitionprobs	9	9	0.9299559988657854
transitionprobs	9	10	0.006022611732059288
transitionprobs	9	11	0.0
transitionprobs	9	12	2.6978943454620165E-5
transitionprobs	9	13	0.0
transitionprobs	9	14	0.0
transitionprobs	9	15	2.1150902785456115E-5
transitionprobs	10	1	0.0
transitionprobs	10	2	0.0
transitionprobs	10	3	0.0
transitionprobs	10	4	0.0
transitionprobs	10	5	1.6317660374912202E-4
transitionprobs	10	6	9.001946373141579E-4
transitionprobs	10	7	0.012667513513166325
transitionprobs	10	8	0.026447838590528717
transitionprobs	10	9	0.016310763586655057
transitionprobs	10	10	0.9052036052235878
transitionprobs	10	11	0.038253468096264
transitionprobs	10	12	5.343974873485554E-5
transitionprobs	10	13	0.0
transitionprobs	10	14	0.0
transitionprobs	10	15	0.0
transitionprobs	11	1	0.0
transitionprobs	11	2	0.0
transitionprobs	11	3	0.0
transitionprobs	11	4	0.0
transitionprobs	11	5	0.002687125810126077
transitionprobs	11	6	8.595383864180256E-4
transitionprobs	11	7	0.0
transitionprobs	11	8	0.005171614145723366
transitionprobs	11	9	0.0
transitionprobs	11	10	0.006830931436918874
transitionprobs	11	11	0.974685107611578
transitionprobs	11	12	5.100198807046268E-4
transitionprobs	11	13	8.694096424942535E-8
transitionprobs	11	14	0.009255575787566962
transitionprobs	11	15	0.0
transitionprobs	12	1	0.0
transitionprobs	12	2	1.42567572267988E-4
transitionprobs	12	3	3.0904457977355546E-4
transitionprobs	12	4	3.5886094130659643E-4
transitionprobs	12	5	2.766821077739288E-4
transitionprobs	12	6	1.6660512314055286E-4
transitionprobs	12	7	3.899441888625123E-5
transitionprobs	12	8	0.0019107630576598
transitionprobs	12	9	1.4602504728909813E-4
transitionprobs	12	10	1.6598941161168537E-4
transitionprobs	12	11	0.0087361466801561
transitionprobs	12	12	0.9351282659300109
transitionprobs	12	13	0.040845625475226285
transitionprobs	12	14	0.007944483196864055
transitionprobs	12	15	0.0038299464580331287
transitionprobs	13	1	0.0
transitionprobs	13	2	0.0
transitionprobs	13	3	0.0
transitionprobs	13	4	4.2375008125789294E-5
transitionprobs	13	5	3.5510018515010065E-5
transitionprobs	13	6	1.0823295403467827E-5
transitionprobs	13	7	0.0
transitionprobs	13	8	0.0
transitionprobs	13	9	0.0
transitionprobs	13	10	0.0
transitionprobs	13	11	7.780980758520116E-6
transitionprobs	13	12	6.716379254061371E-4
transitionprobs	13	13	0.99682382618657
transitionprobs	13	14	0.002408046585221058
transitionprobs	13	15	0.0
transitionprobs	14	1	0.0
transitionprobs	14	2	0.0
transitionprobs	14	3	2.269513615749312E-4
transitionprobs	14	4	1.675460931565859E-4
transitionprobs	14	5	0.004490134957527036
transitionprobs	14	6	4.499643312461556E-4
transitionprobs	14	7	0.0
transitionprobs	14	8	2.696724114909534E-4
transitionprobs	14	9	0.0
transitionprobs	14	10	0.0
transitionprobs	14	11	6.146650407376923E-4
transitionprobs	14	12	2.697294087031537E-5
transitionprobs	14	13	5.58508008902914E-4
transitionprobs	14	14	0.9891448773077612
transitionprobs	14	15	0.004050707546732458
transitionprobs	15	1	0.0
transitionprobs	15	2	0.0
transitionprobs	15	3	0.0
transitionprobs	15	4	0.004619744147470833
transitionprobs	15	5	3.6766889767511616E-5
transitionprobs	15	6	0.0
transitionprobs	15	7	0.0
transitionprobs	15	8	0.0
transitionprobs	15	9	0.0
transitionprobs	15	10	4.267573203325506E-6
transitionprobs	15	11	0.0
transitionprobs	15	12	1.9632191675661453E-4
transitionprobs	15	13	6.2886371933351506E-6
transitionprobs	15	14	0.05023452832877234
transitionprobs	15	15	0.9449020825068359
emissionprobs	1	0	H3K9ac	0	0.3133185510657008
emissionprobs	1	0	H3K9ac	1	0.6866814489342993
emissionprobs	1	1	H3k09me3	0	0.9996202393755755
emissionprobs	1	1	H3k09me3	1	3.7976062442440507E-4
emissionprobs	1	2	H3k27me3	0	1.0
emissionprobs	1	2	H3k27me3	1	1.2423499805952765E-242
emissionprobs	1	3	H3k36me3	0	0.9999319357103787
emissionprobs	1	3	H3k36me3	1	6.806428962123954E-5
emissionprobs	1	4	H3k4me2	0	0.9999999999525421
emissionprobs	1	4	H3k4me2	1	4.7457913674487486E-11
emissionprobs	1	5	H3k4me3	0	0.2341947016942381
emissionprobs	1	5	H3k4me3	1	0.7658052983057618
emissionprobs	1	6	H3k79me2	0	0.6015395202366037
emissionprobs	1	6	H3k79me2	1	0.3984604797633962
emissionprobs	1	7	H3k9me1	0	1.0
emissionprobs	1	7	H3k9me1	1	1.1197880480447367E-281
emissionprobs	1	8	H4k20me1	0	1.0
emissionprobs	1	8	H4k20me1	1	1.715216432385312E-260
emissionprobs	2	0	H3K9ac	0	0.1787260629505951
emissionprobs	2	0	H3K9ac	1	0.821273937049405
emissionprobs	2	1	H3k09me3	0	0.9988108027419385
emissionprobs	2	1	H3k09me3	1	0.0011891972580615948
emissionprobs	2	2	H3k27me3	0	0.9982404788185962
emissionprobs	2	2	H3k27me3	1	0.001759521181403748
emissionprobs	2	3	H3k36me3	0	0.9467905774240722
emissionprobs	2	3	H3k36me3	1	0.05320942257592776
emissionprobs	2	4	H3k4me2	0	0.015298896196589355
emissionprobs	2	4	H3k4me2	1	0.9847011038034106
emissionprobs	2	5	H3k4me3	0	0.0035935248366308114
emissionprobs	2	5	H3k4me3	1	0.9964064751633691
emissionprobs	2	6	H3k79me2	0	0.0476654992825805
emissionprobs	2	6	H3k79me2	1	0.9523345007174195
emissionprobs	2	7	H3k9me1	0	0.9935101212665643
emissionprobs	2	7	H3k9me1	1	0.0064898787334356405
emissionprobs	2	8	H4k20me1	0	0.9507266768347742
emissionprobs	2	8	H4k20me1	1	0.04927332316522573
emissionprobs	3	0	H3K9ac	0	0.1951627468729536
emissionprobs	3	0	H3K9ac	1	0.8048372531270465
emissionprobs	3	1	H3k09me3	0	0.9988189677618418
